ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
71,ปี 2558,7-50120-002,โรงเรียนกิ่วแลน้อยประสิทธิ์วิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลบ้านแม,อําเภอสันป่าตอง,เชียงใหม่,50120
72,ปี 2562,7-50120-003,โรงเรียนสันป่าตองวิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
73,ปี 2565,7-50120-004,วิทยาลัยเกษตรและเทคโนโลยีเชียงใหม่,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลบ้านกลาง,อําเภอสันป่าตอง,เชียงใหม่,50120
74,ปี 2565,7-50120-005,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอสันป่าตอง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
75,ปี 2568,7-50120-006,โรงเรียนวิมานทิพย์,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลสันกลาง,อําเภอสันป่าตอง,เชียงใหม่,50120
76,ปี 2568,7-50120-007,โรงเรียนวัดอุเม็ง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
77,ปี 2568,7-50120-008,โรงเรียนวัดกู่คํา (เมธาวิสัยคณาทร),สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
78,ปี 2568,7-50120-009,โรงเรียนชุมชนกิ่วแลหลวงประสิทธิ์วิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
79,ปี 2568,7-50120-010,โรงเรียนอนุบาลตําบลทุ่งสะโตก,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลทุ่งสะโตก,อําเภอสันป่าตอง,เชียงใหม่,50120
80,ปี 2568,7-50120-011,โรงเรียนอนุบาลองคการบริหารส่วนตําบลน้ำบ่อหลวง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลน้ำบ่อหลวง,อําเภอสันป่าตอง,เชียงใหม่,50120
