"รายชื่อสถานศึกษา ""สวนพฤกษศาสตร์โรงเรียน"" จังหวัดเชียงใหม่",,,,,,,,
จํานวน ๖๘๕ แห่ง ข้อมูล ณ วันที่ ๒๐ มีนาคม ๒๕๖๙,,,,,,,,
ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย
539,21 กรกฎาคม 2568,7-50280-018,โรงเรียนบ้านโปงไฮ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สาว,อําเภอแม่อาย,เชียงใหม่,50280
540,21 กรกฎาคม 2568,7-50280-019,โรงเรียนบ้านสันปาขา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สาว,อําเภอแม่อาย,เชียงใหม่,50280
541,21 กรกฎาคม 2568,7-50280-020,โรงเรียนบ้านดอนชัย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่อาย,อําเภอแม่อาย,เชียงใหม่,50280
542,20 สิงหาคม 2568,7-50280-021,โรงเรียนประพันธ-อารีย หงสสกุล,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่นาวาง,อําเภอแม่อาย,เชียงใหม่,50280
543,20 ตุลาคม 2568,7-50280-022,โรงเรียนไทยทนุบ้านสันตนดู,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลท่าตอน,อําเภอแม่อาย,เชียงใหม่,50280
544,20 มีนาคม 2569,7-50280-023,โรงเรียนบ้านสันปอธง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลสันตนหมื้อ,อําเภอแม่อาย,เชียงใหม่,50280
545,20 มีนาคม 2569,7-50280-024,โรงเรียนบ้านฮางต่ํา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่นาวาง,อําเภอแม่อาย,เชียงใหม่,50280
546,20 มีนาคม 2569,7-50280-025,โรงเรียนบ้านหนองขี้นกยาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่นาวาง,อําเภอแม่อาย,เชียงใหม่,50280
547,20 มิถุนายน 2568,7-50280-033/014-ตชด.,โรงเรียนตํารวจตระเวนชายแดน เฮียงไทยธํารงค,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลแม่สาว,อําเภอแม่อาย,เชียงใหม่,50280
548,20 มิถุนายน 2568,7-50280-033/015-ตชด.,ศูนย์การเรียนตํารวจตระเวน ชายแดนบ้านนามะอื้น,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลแม่อาย,อําเภอแม่อาย,เชียงใหม่,50280
549,7 ธันวาคม 2553,7-50280-033/10-ตชด.,โรงเรียนตํารวจตระเวนชายแดนทุ ติยะโพธิ์อนุสรณ,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลแม่อาย,อําเภอแม่อาย,เชียงใหม่,50280
550,15 กรกฎาคม 2556,7-50290-001,โรงเรียนบ้านรมหลวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แฝก,อําเภอสันทราย,เชียงใหม่,50290
551,16 กันยายน 2556,7-50290-002,โรงเรียนบ้านแม่โจ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลหนองหาร,อําเภอสันทราย,เชียงใหม่,50290
552,16 มกราคม 2562,7-50290-003,โรงเรียนศรีสังวาลยเชียงใหม่,สํานักบริหารงานการศึกษาพิเศษ,ตําบลหนองหาร,อําเภอสันทราย,เชียงใหม่,50290
553,24 มิถุนายน 2562,7-50290-004,โรงเรียนสันทรายวิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลหนองหาร,อําเภอสันทราย,เชียงใหม่,50290
554,21 ตุลาคม 2562,7-50290-005,ศูนย์ส่งเสริมการเรียนรู้ ระดับ อําเภอสันทราย,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสันทราย หลวง,อําเภอสันทราย,เชียงใหม่,50290
555,20 มกราคม 2564,7-50290-006,โรงเรียนบ้านแม่แต,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แฝก,อําเภอสันทราย,เชียงใหม่,50290
556,21 กรกฎาคม 2568,7-50290-007,โรงเรียนบ้านโปง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แฝก,อําเภอสันทราย,เชียงใหม่,50290
557,21 กรกฎาคม 2568,7-50290-008,โรงเรียนบ้านแม่ยอย (เจียร-สมศรี วังทองคํา),สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสันทรายนอย,อําเภอสันทราย,เชียงใหม่,50210
558,21 กรกฎาคม 2568,7-50290-009,โรงเรียนบ้านศรีงาม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แฝก,อําเภอสันทราย,เชียงใหม่,50290
559,21 กรกฎาคม 2568,7-50290-010,โรงเรียนบ้านหนองมะจับ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แฝก,อําเภอสันทราย,เชียงใหม่,50290
560,21 กรกฎาคม 2568,7-50290-011,โรงเรียนบ้านปาบง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลหนองหาร,อําเภอสันทราย,เชียงใหม่,50290
561,21 กรกฎาคม 2568,7-50290-012,โรงเรียนบ้านห้วยเกี๋ยง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลหนองหาร,อําเภอสันทราย,เชียงใหม่,50290
562,20 ตุลาคม 2568,7-50290-013,โรงเรียนบ้านหนองหาร (ทิพวัน อุทิศ),สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลหนองหาร,อําเภอสันทราย,เชียงใหม่,50290
563,11 ธันวาคม 2568,7-50290-014,โรงเรียนบ้านแม่แฝก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แฝกใหม,อําเภอสันทราย,เชียงใหม่,50290
564,11 ธันวาคม 2568,7-50290-015,โรงเรียนบ้านท่าเกวียน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลหนองจอม,อําเภอสันทราย,เชียงใหม่,50290
565,16 กันยายน 2558,7-50300-001,โรงเรียนเทศบาลวัดปาแพง,เทศบาลนครเชียงใหม่,ตําบลช้างมอย,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
566,9 พฤศจิกายน 2558,7-50300-002,โรงเรียนสาธิตมหาวิทยาลัยราชภัฏเชียงใหม่,สํานักงานปลัดกระทรวงการ อุดมศึกษาวิทยาศาสตร วิจัย และนวัตกรรม,ตําบลช้างเผือก,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
567,28 มิถุนายน 2560,7-50300-003,โรงเรียนโสตศึกษาอนุสารสุนทร,สํานักบริหารงานการศึกษา พิเศษ,ตําบลช้างเผือก,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
568,20 ธันวาคม 2562,7-50300-004,โรงเรียนวัดรองออ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันผีเสื้อ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
569,20 พฤษภาคม 2563,7-50300-005,ศูนย์ส่งเสริมการเรียนรู้ ระดับอําเภอเชียงดาว,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50300
570,20 ตุลาคม 2564,7-50300-006,วิทยาลัยสารพัดชางเชียงใหม่,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลช้างเผือก,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
571,20 มิถุนายน 2568,7-50300-007,วิทยาลัยเทคโนโลยีพาณิชยการลานนา,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลสุเทพ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
572,20 ตุลาคม 2568,7-50300-008,โรงเรียนวัดเจ็ดยอด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลช้างเผือก,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
573,21 กรกฎาคม 2568,7-50300-009,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลปาตัน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
574,20 ตุลาคม 2568,7-50300-010,โรงเรียนวัดปาขอยใต,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันผีเสื้อ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
575,20 ตุลาคม 2568,7-50300-011,โรงเรียนวัดปาตัน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลปาตัน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
576,20 ตุลาคม 2568,7-50300-012,โรงเรียนวัดขวงสิงห,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลช้างเผือก,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
577,20 ตุลาคม 2568,7-50300-013,โรงเรียนศรีเนหรู,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลช้างเผือก,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
578,20 ตุลาคม 2568,7-50300-014,โรงเรียนวัดชางเคี่ยน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลช้างเผือก,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
579,20 ตุลาคม 2568,7-50300-015,โรงเรียนบ้านท่าหลุกสันทราย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันผีเสื้อ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
580,20 พฤศจิกายน 2568,7-50300-016,โรงเรียนเทศบาลดอกเงิน,เทศบาลนครเชียงใหม่,ตําบลช้างมอย,"อําเภอเมือง
เชียงใหม่",เชียงใหม่,50300
581,20 มีนาคม 2569,7-50300-017,ศูนย์ส่งเสริมการเรียนรู้ ระดับ อําเภอเมืองเชียงใหม่,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลช้างเผือก,อําเภอเมืองเชียงใหม่,เชียงใหม่,50300
582,25 มิถุนายน 2557,7-50310-001,โรงเรียนแม่ตื่นวิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลแม่ตื่น,อําเภออมกอย,เชียงใหม่,50310
583,20 กรกฎาคม 2563,7-50310-002,ศูนย์ส่งเสริมการเรียนรู้ ระดับ อําเภออมกอย,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลนาเกียน,อําเภออมกอย,เชียงใหม่,50310
584,22 กุมภาพันธ 2564,7-50310-003,โรงเรียนชุมชนบ้านใหม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมกอย,เชียงใหม่,50310
585,20 มิถุนายน 2568,7-50310-004,โรงเรียนบ้านแม่ลานหลวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปยง,อําเภออมกอย,เชียงใหม่,50310
586,20 มิถุนายน 2568,7-50310-005,โรงเรียนบ้านห้วยไมหก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลมอนจอง,อําเภออมกอย,เชียงใหม่,50310
587,20 มิถุนายน 2568,7-50310-006,โรงเรียนบ้านทุงตนงิ้ว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมกอย,เชียงใหม่,50310
588,20 มิถุนายน 2568,7-50310-007,โรงเรียนบ้านทุงจําเริง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50310
589,21 กรกฎาคม 2568,7-50310-008,โรงเรียนบ้านแม่ตอม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50310
590,21 กรกฎาคม 2568,7-50310-009,โรงเรียนบ้านแม่อางขาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50310
591,21 กรกฎาคม 2568,7-50310-010,โรงเรียนอมกอยวิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50310
592,21 กรกฎาคม 2568,7-50310-011,โรงเรียนชุมชนบ้านอมกอย สาขา บ้านสะบอมแฮด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50310
593,21 กรกฎาคม 2568,7-50310-012,โรงเรียนบ้านนาไคร,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปยง,อําเภออมกอย,เชียงใหม่,50310
594,21 กรกฎาคม 2568,7-50310-013,โรงเรียนบ้านสบลาน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปยง,อําเภออมกอย,เชียงใหม่,50310
595,21 กรกฎาคม 2568,7-50310-014,โรงเรียนบ้านห้วยโคง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปยง,อําเภออมกอย,เชียงใหม่,50310
596,21 กรกฎาคม 2568,7-50310-015,โรงเรียนตรีมิตรวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลมอนจอง,อําเภออมกอย,เชียงใหม่,50310
597,21 กรกฎาคม 2568,7-50310-016,โรงเรียนบ้านยางครก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปยง,อําเภออมกอย,เชียงใหม่,50310
598,21 กรกฎาคม 2568,7-50310-017,โรงเรียนบ้านนาเกียน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมกอย,เชียงใหม่,50260
599,21 กรกฎาคม 2568,7-50310-018,โรงเรียนบ้านห้วยหลอดูก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมกอย,เชียงใหม่,50310
600,21 กรกฎาคม 2568,7-50310-019,โรงเรียนบ้านหางหลวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมกอย,เชียงใหม่,50310
601,21 กรกฎาคม 2568,7-50310-020,โรงเรียนบ้านตุงลอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50240
602,21 กรกฎาคม 2568,7-50310-021,โรงเรียนบ้านห้วยปูลิง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลมอนจอง,อําเภออมกอย,เชียงใหม่,50310
603,21 กรกฎาคม 2568,7-50310-022,โรงเรียนบ้านห้วยน้ำขาว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลมอนจอง,อําเภออมกอย,เชียงใหม่,50310
604,21 กรกฎาคม 2568,7-50310-023,โรงเรียนบ้านแม่สะเต,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมกอย,เชียงใหม่,50310
605,21 กรกฎาคม 2568,7-50310-024,โรงเรียนบ้านใบหนา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมกอย,เชียงใหม่,50310
606,21 กรกฎาคม 2568,7-50310-025,โรงเรียนชุมชนบ้านอมกอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50310
607,21 กรกฎาคม 2568,7-50310-026,โรงเรียนบ้านอูตูม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมกอย,เชียงใหม่,50310
608,21 กรกฎาคม 2568,7-50310-027,โรงเรียนบ้านแม่ตื่น,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมกอย,เชียงใหม่,50310
609,21 กรกฎาคม 2568,7-50310-028,โรงเรียนบ้านชุมชนแม่ตื่น,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมกอย,เชียงใหม่,50310
610,11 ธันวาคม 2568,7-50310-029,โรงเรียนบ้านแม่หลองนอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่หลอง,อําเภออมกอย,เชียงใหม่,50310
611,11 ธันวาคม 2568,7-50310-030,โรงเรียนบ้านหลวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปยง,อําเภออมกอย,เชียงใหม่,50310
612,11 ธันวาคม 2568,7-50310-031,โรงเรียนบ้านยางเปยง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปยง,อําเภออมกอย,เชียงใหม่,50310
613,11 ธันวาคม 2568,7-50310-032,โรงเรียนบ้านชิแบร,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมกอย,เชียงใหม่,50310
614,11 ธันวาคม 2568,7-50310-033,โรงเรียนบ้านแม่โขง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมกอย,เชียงใหม่,50310
615,20 มิถุนายน 2568,7-50310-033/016-ตชด.,โรงเรียนตํารวจตระเวนชายแดน ท่านผูหญิงประไพ ศิวะโกเศศ,กองกํากับการตํารวจตระเวน ชายแดนที่ 33,ตําบลแม่หลอง,อําเภออมกอย,เชียงใหม่,50310
616,20 มิถุนายน 2568,7-50310-033/017-ตชด.,โรงเรียนตํารวจตระเวนชายแดน บางกอก เซฟ แชรริตี้,กองกํากับการตํารวจตระเวน ชายแดนที่ 33,ตําบลแม่หลอง,อําเภออมกอย,เชียงใหม่,50310
617,30 เมษายน 2561,7-50310-033/04-ตชด.,โรงเรียนตํารวจตระเวนชายแดน รางวัลอินทิรา คานธี,กองกํากับการตํารวจตระเวน ชายแดนที่ 33,ตําบลแม่ตื่น,อําเภออมกอย,เชียงใหม่,50310
618,11 ธันวาคม 2568,7-50310-034,โรงเรียนบ้านผีปานเหนือ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมกอย,เชียงใหม่,50310
619,11 ธันวาคม 2568,7-50310-035,โรงเรียนบ้านขุนตื่น,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่หลอง,อําเภออมกอย,เชียงใหม่,50310
620,11 ธันวาคม 2568,7-50310-036,โรงเรียนบ้านยางเปา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50310
621,11 ธันวาคม 2568,7-50310-037,โรงเรียนบ้านยางแกว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50310
622,11 ธันวาคม 2568,7-50310-038,โรงเรียนบ้านมูเซอ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลมอนจอง,อําเภออมกอย,เชียงใหม่,50310
623,20 กุมภาพันธ 2569,7-50310-039,โรงเรียนบ้านแม่ลานหลวงสาขา ดอยซาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปยง,อําเภออมกอย,เชียงใหม่,50310
624,7 กันยายน 2544,7-50320-001,โรงเรียนอนุบาลเอื้อวิทยา,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลปงตํา,อําเภอไชยปราการ,เชียงใหม่,50320
625,16 กันยายน 2556,7-50320-002,โรงเรียนบ้านหลวง (อ.ฝาง),สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
626,17 พฤศจิกายน 2557,7-50320-003,โรงเรียนเทศบาล 1 ไชยปราการ,เทศบาลตําบลไชยปราการ,ตําบลปงตํา,อําเภอไชยปราการ,เชียงใหม่,50320
627,7 ธันวาคม 2561,7-50320-004,โรงเรียนบ้านถ้ําตับเตา,องคการบริหารสวนจังหวัด เชียงใหม่,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
628,7 ธันวาคม 2561,7-50320-005,โรงเรียนบ้านแม่งอนขี้เหล็ก,องคการบริหารสวนจังหวัด เชียงใหม่,ตําบลศรีดงเย็น,อําเภอไชยปราการ,เชียงใหม่,50320
629,16 มกราคม 2562,7-50320-006,โรงเรียนบ้านแม่งอนกลาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
630,22 กรกฎาคม 2562,7-50320-007,โรงเรียนบ้านหลายฝาง,เทศบาลตําบลแม่ขา,ตําบลแม่ขา,อําเภอฝาง,เชียงใหม่,50320
631,20 กุมภาพันธ 2563,7-50320-008,โรงเรียนอนุบาลแม่แวน,องคการบริหารสวนตําบลแม่ แวน,ตําบลแม่แวน,อําเภอพราว,เชียงใหม่,50320
632,21 ธันวาคม 2563,7-50320-009,โรงเรียนบ้านหวฝาย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลศรีดงเย็น,อําเภอไชยปราการ,เชียงใหม่,50320
633,20 สิงหาคม 2564,7-50320-010,ศูนย์ส่งเสริมการเรียนรู้ ระดับ อําเภอไชยปราการ,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลปงตํา,อําเภอไชยปราการ,เชียงใหม่,50320
634,20 มิถุนายน 2568,7-50320-011,โรงเรียนบ้านทุงหลุก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
635,20 มิถุนายน 2568,7-50320-012,โรงเรียนบ้านตนโชค,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลหนองบัว,อําเภอไชยปราการ,เชียงใหม่,50320
636,20 มิถุนายน 2568,7-50320-013,โรงเรียนชุมชนวัดศรีดงเย็น,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลศรีดงเย็น,อําเภอไชยปราการ,เชียงใหม่,50320
637,20 มิถุนายน 2568,7-50320-014,โรงเรียนบ้านปางิ้ว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่ทะลบ,อําเภอไชยปราการ,เชียงใหม่,50320
638,21 กรกฎาคม 2568,7-50320-015,โรงเรียนฉัตรพฤกษวิทยา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลศรีดงเย็น,อําเภอไชยปราการ,เชียงใหม่,50320
639,21 กรกฎาคม 2568,7-50320-016,โรงเรียนไชยปราการ,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลหนองบัว,อําเภอไชยปราการ,เชียงใหม่,50320
640,21 กรกฎาคม 2568,7-50320-017,โรงเรียนอนุบาลเทศบาลตําบล บ้านแม่ขา,เทศบาลตําบลบ้านแม่ขา,ตําบลแม่ขา,อําเภอฝาง,เชียงใหม่,50320
641,21 กรกฎาคม 2568,7-50320-018,โรงเรียนเทพศิรินทร 9 โครงการ หลวงในพระบรมราชูปถัมภ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
642,21 กรกฎาคม 2568,7-50320-019,โรงเรียนบ้านหนองขวาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
643,20 มกราคม 2569,7-50320-020,โรงเรียนบ้านยาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
644,20 มีนาคม 2569,7-50320-021,โรงเรียนบ้านห้วยไผ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลหนองบัว,อําเภอไชยปราการ,เชียงใหม่,50320
645,20 มีนาคม 2569,7-50320-022,โรงเรียนบ้านเดนใหม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่ขา,อําเภอฝาง,เชียงใหม่,50320
646,20 มีนาคม 2569,7-50320-023,โรงเรียนวัดปาแดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่ทะลบ,อําเภอไชยปราการ,เชียงใหม่,50320
647,29 มกราคม 2551,7-50330-001,โรงเรียนบ้านเมืองกะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะลวง,อําเภอแม่ริม,เชียงใหม่,50330
648,19 มีนาคม 2556,7-50330-002,โรงเรียนบ้านสะลวงนอก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะลวง,อําเภอแม่ริม,เชียงใหม่,50330
649,11 มีนาคม 2557,7-50330-003,โรงเรียนสันปายางวิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลสันปายาง,อําเภอแม่แตง,เชียงใหม่,50330
